star_id,star_name,teff_k,mass_solar,radius_solar,metallicity_fe_h,distance_pc,ra_deg,dec_deg,num_planets
348,Kepler-20,5495.0,0.929,0.9164,0.07,282.563,287.6979913,42.3385782,6
349,Kepler-21,6305.0,1.408,1.902,-0.03,108.522,287.3619673,38.7141384,1
350,Kepler-22,5596.0,0.857,0.869,-0.255,194.642,289.2172051,47.8841427,1
351,Kepler-27,5400.0,0.65,0.59,0.41,1044.36,292.2367608,41.085871,3
352,Kepler-278,4965.0,1.227,2.861,0.22,443.03,290.1072124,38.7022694,2
353,Kepler-30,5498.0,0.99,0.95,0.18,914.221,285.2836483,38.9472625,3
354,Kepler-31,6340.0,1.21,1.22,-0.076,1664.64,294.0230229,45.8530535,3
355,Kepler-32,3900.0,0.58,0.53,0.0,323.847,297.8423073,46.5743595,5
356,Kepler-323,6004.0,1.015,1.12,-0.14,454.883,291.3822988,38.1274595,2
357,Kepler-324,5233.0,0.901,0.835,,501.574,286.4714473,49.6490933,4
358,Kepler-34,5913.0,1.0479,1.1618,-0.07,1800.82,296.4358022,44.6415369,1
359,Kepler-35,5606.0,0.8877,1.0284,-0.34,1819.17,294.496955,46.6896733,1
360,Kepler-37,5357.0,0.79,0.789,-0.36,63.9207,284.0592503,44.5183733,4
361,Kepler-38,5623.0,0.941,1.752,-0.11,1174.59,286.830312,42.2791434,1
362,Kepler-39,6350.0,1.29,1.4,0.1,1057.41,296.9603348,46.0342954,1
363,Kepler-391,5038.0,1.27,2.879,0.04,869.236,290.6218844,51.0573453,2
364,Kepler-4,5857.0,1.223,1.487,0.17,487.916,285.6154492,50.1357712,1
365,Kepler-40,6510.0,1.48,2.13,0.1,2305.01,296.8136883,47.5265446,1
366,Kepler-409,5421.0,0.913,0.897,0.05,68.173,293.6792058,46.8527337,1
367,Kepler-41,5750.0,1.15,1.29,0.38,1093.08,294.5132465,45.9816453,1
368,Kepler-411,,0.87,0.82,,153.676,287.6057027,49.5233937,4
369,Kepler-412,5750.0,1.167,1.287,0.27,1086.24,286.1103053,43.6809612,1
370,Kepler-413,4700.0,0.82,0.7761,-0.2,847.536,288.5106679,51.1624235,1
371,Kepler-419,6430.0,1.39,1.74,0.176,1011.36,295.4179125,51.1847629,2
372,Kepler-422,5972.0,1.15,1.24,0.23,722.795,282.6296334,46.3232807,1
373,Kepler-423,5560.0,0.85,0.95,-0.1,758.753,292.8557189,46.3911883,1
374,Kepler-424,5460.0,1.01,0.94,0.44,698.646,298.6249797,48.57745,2
375,Kepler-425,5170.0,0.93,0.86,0.24,646.647,290.3579781,40.5676965,1
376,Kepler-426,5725.0,0.91,0.92,-0.21,843.695,289.4346668,49.473455,1
377,Kepler-427,5800.0,0.96,1.35,-0.19,1017.8,288.2545808,43.7048379,1
378,Kepler-428,5150.0,0.87,0.8,0.09,686.284,290.5817432,40.5773106,1
379,Kepler-43,6041.0,1.32,1.42,0.33,1005.84,285.2408288,46.6682411,1
380,Kepler-432,4995.0,1.32,4.06,-0.07,848.023,293.2822344,48.2859173,2
381,Kepler-433,6360.0,1.46,2.26,-0.01,1878.31,297.5936232,40.9772546,1
382,Kepler-434,5977.0,1.198,1.38,0.25,1222.54,293.5863887,42.9288624,1
383,Kepler-435,6161.0,1.538,3.21,-0.18,1418.77,292.2873012,43.1972542,1
384,Kepler-44,5800.0,1.12,1.35,0.15,1188.0,300.1023512,45.7621918,1
385,Kepler-447,5493.0,1.0,1.05,0.07,268.041,285.2685283,48.5598835,1
386,Kepler-45,3820.0,0.59,0.55,0.28,381.949,292.8729292,41.0641727,1
387,Kepler-453,5527.0,0.944,0.833,0.09,442.846,283.2413322,46.3784691,1
388,Kepler-454,5687.0,1.03,1.066,0.32,230.869,287.4786474,38.2290751,3
389,Kepler-46,5155.0,0.902,0.938,0.41,777.06,289.2687388,42.6041819,3
390,Kepler-5,6297.0,1.374,1.793,0.04,899.777,299.4070341,44.0350387,1
391,Kepler-51,6018.0,1.04,0.94,,783.831,296.4797624,49.9376486,4
392,Kepler-538,5534.0,0.892,0.8717,-0.09,155.956,297.4865503,49.6233975,1
393,Kepler-539,5820.0,1.048,0.952,-0.01,307.318,299.1224639,41.8667953,2
394,Kepler-553,5191.0,0.889,0.902,0.152,728.525,298.5508922,48.3325405,2
395,Kepler-56,4840.0,1.32,4.23,0.2,912.994,293.7583002,41.871807,3
396,Kepler-6,5647.0,1.209,1.391,0.34,587.039,296.8372475,48.2399695,1
397,Kepler-62,4925.0,0.69,0.64,-0.37,300.874,283.2125621,45.3496992,5
398,Kepler-63,5576.0,0.984,0.901,0.05,194.033,289.2262876,49.5482814,1
399,Kepler-68,5847.0,1.057,1.2564,0.11,144.166,291.0323102,49.0402129,4
400,Kepler-7,5933.0,1.359,1.966,0.11,922.562,288.5814928,41.0897335,1
401,Kepler-74,6000.0,1.18,1.12,0.42,1177.55,293.0925275,41.3555095,1
402,Kepler-75,5200.0,0.91,0.89,0.3,835.356,291.1376203,36.5773443,1
403,Kepler-76,6409.0,1.2,1.32,-0.1,822.96,294.1921185,39.6189727,1
404,Kepler-77,5520.0,0.95,0.99,0.2,639.411,289.6079433,44.3454347,1
405,Kepler-78,5058.0,0.779,0.7475,-0.18,124.376,293.7419543,44.4482521,1
406,Kepler-79,6174.0,1.165,1.302,-0.0731,1020.72,300.5171067,44.3815508,4
407,Kepler-8,6213.0,1.213,1.486,-0.055,1021.87,281.2881335,42.4510975,1
408,Kepler-80,4540.0,0.73,0.678,0.04,369.451,296.1125759,39.9787451,6
